t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
618817012,9.749189,-0.23942018,0.05267244,-0.008513802,0.014899152,0.0031926755,10.05,32.55,54.9,28.140503,25.829823,85794.516,1381.5787,-6.703765,10.534488,7.6614456
618850010,9.682152,-0.22026655,0.038307227,-0.008513802,0.009578027,0,8.7,32.85,53.4,28.284273,25.82997,85794.91,1381.5414,-1.9153614,5.746084,8.619126
618883010,9.811439,-0.22984336,0.038307227,-0.007449576,0.012770702,0.006385351,9,32.4,53.7,28.140503,25.830519,85794.71,1381.5603,-0.9576807,7.6614456,3.8307228
618916012,9.92636,-0.21547815,-0.01436521,-0.006385351,0.011706477,0.005321126,8.7,32.4,54.75,28.09258,25.830648,85795.09,1381.5234,-3.8307228,3.8307228,2.873042
618949010,9.792285,-0.18195933,0.01436521,-0.007449576,0.017027603,0,9.75,33.6,54.45,28.475964,25.831179,85794.445,1381.5851,-1.9153614,5.746084,3.8307228
618982012,9.734824,-0.19632454,-0.08619126,-0.005321126,0.011706477,0.005321126,10.65,33.3,52.8,28.284273,25.830978,85795,1381.5321,-0.9576807,-0.9576807,0
619015010,9.677363,-0.20111294,0.047884032,-0.008513802,0.015963377,0.007449576,9.6,32.55,54.9,28.380117,25.831142,85795.05,1381.5281,0.9576807,-0.9576807,0.9576807
619048010,9.921572,-0.25857377,0.033518825,-0.012770702,0.011706477,0.005321126,10.2,33.6,54,28.380117,25.830666,85795.69,1381.4672,-4.7884035,2.873042,4.7884035
619081010,9.916783,-0.22984336,-0.047884032,-0.010642252,0.015963377,0.005321126,10.35,31.8,54.6,28.475964,25.831032,85795.44,1381.4907,-6.703765,3.8307228,8.619126
619126988,9.825804,-0.16759412,-0.009576807,-0.006385351,0.011706477,0.005321126,10.5,32.4,54.45,28.284273,25.831326,85795.26,1381.5079,-3.8307228,7.6614456,22.026655
619159131,9.730036,-0.25378537,0.019153614,-0.008513802,0.013834927,0,9.75,31.95,54,28.23635,25.82832,85795.05,1381.5281,-1.9153614,7.6614456,2.873042
619192010,9.749189,-0.19153613,0.009576807,-0.008513802,0.013834927,0.005321126,10.5,33.6,53.7,28.284273,25.826488,85795.26,1381.5079,-4.7884035,-0.9576807,7.6614456
619225012,9.859323,-0.24420857,-0.0047884034,-0.012770702,0.008513802,0.005321126,8.85,32.25,53.55,28.284273,25.825132,85795.57,1381.478,0,-1.9153614,6.703765
619258010,9.873688,-0.20111294,0.019153614,-0.0031926755,0.012770702,0.0021284504,8.85,33,54.3,28.380117,25.824839,85795.81,1381.4551,-0.9576807,3.8307228,7.6614456
619291012,9.844957,-0.16280572,-0.023942016,-0.008513802,0.015963377,0.004256901,10.35,33,54.6,28.284273,25.825645,85796.05,1381.4326,-4.7884035,0.9576807,9.576807
619324010,9.749189,-0.16280572,0,-0.010642252,0.011706477,0.010642252,9.45,31.95,52.95,28.044659,25.826103,85796.195,1381.4182,-1.9153614,-0.9576807,3.8307228
619357012,9.792285,-0.18674773,-0.038307227,-0.009578027,0.017027603,0.007449576,10.05,33,54.3,28.475964,25.826159,85795.82,1381.4545,-0.9576807,5.746084,4.7884035
619390010,9.864111,-0.22505496,-0.04309563,-0.009578027,0.015963377,0.011706477,9.3,33,53.55,28.428041,25.825901,85795.19,1381.5143,-4.7884035,4.7884035,1.9153614
619423012,9.825804,-0.17238252,0.023942016,-0.011706477,0.015963377,0.004256901,10.2,33.15,54.75,28.044659,25.827038,85795.266,1381.5074,-3.8307228,9.576807,1.9153614
619456007,9.691729,-0.19632454,-0.04309563,-0.004256901,0.014899152,0.005321126,10.2,32.85,53.4,28.428041,25.82744,85794.945,1381.5374,-1.9153614,4.7884035,1.9153614
619489011,9.734824,-0.21068975,0.02873042,-0.005321126,0.015963377,0.0010642252,10.5,33.9,54.45,28.044659,25.82744,85794.65,1381.566,-0.9576807,2.873042,4.7884035
619522010,9.873688,-0.22505496,0.01436521,-0.004256901,0.009578027,0.006385351,9.6,33,53.85,28.09258,25.828192,85794.28,1381.6006,-3.8307228,10.534488,4.7884035
619555012,9.888053,-0.21547815,0.019153614,-0.007449576,0.008513802,0.005321126,8.7,34.35,54.75,28.284273,25.829329,85795.29,1381.5045,-3.8307228,5.746084,6.703765
619588007,9.835381,-0.22026655,0.062249243,-0.004256901,0.010642252,0.0031926755,9,31.95,55.8,28.428041,25.829163,85795.25,1381.5085,-5.746084,7.6614456,0.9576807
619621011,9.696517,-0.20590134,0.038307227,-0.006385351,0.012770702,0.004256901,8.85,32.55,54.9,28.044659,25.829182,85795.55,1381.4803,-0.9576807,4.7884035,10.534488
619654010,9.682152,-0.1388637,0.019153614,-0.010642252,0.014899152,0.005321126,9,33.15,54,28.284273,25.82964,85795.57,1381.478,-5.746084,9.576807,9.576807
619687010,9.916783,-0.19153613,-0.05746084,-0.012770702,0.011706477,0.005321126,9.6,33,55.65,28.044659,25.829988,85796.45,1381.3934,-3.8307228,5.746084,4.7884035
619720010,9.911995,-0.16759412,-0.0047884034,-0.004256901,0.013834927,0.0031926755,9.75,31.2,56.25,28.09258,25.830244,85796.836,1381.3572,-1.9153614,2.873042,0.9576807
619753012,9.80665,-0.15322891,-0.009576807,-0.008513802,0.018091828,0.0010642252,10.65,33.3,55.35,28.23635,25.830427,85796.1,1381.4274,-1.9153614,7.6614456,8.619126
619786012,9.739613,-0.19632454,0.047884032,-0.004256901,0.010642252,0.008513802,9.75,32.85,54.45,28.284273,25.830427,85796.39,1381.3998,-2.873042,9.576807,-1.9153614
619819010,9.768343,-0.22026655,0.019153614,-0.013834927,0.012770702,0.0021284504,9.3,32.25,55.35,28.23635,25.830427,85796.32,1381.4067,-1.9153614,-0.9576807,9.576807
619852012,9.988609,-0.22984336,-0.019153614,-0.005321126,0.013834927,0.006385351,8.85,32.55,54.3,28.140503,25.831015,85796.53,1381.386,1.9153614,-0.9576807,10.534488
619885010,9.888053,-0.16280572,0.04309563,-0.006385351,0.011706477,0.0010642252,10.5,33.9,53.7,28.284273,25.830282,85796.3,1381.409,-0.9576807,9.576807,3.8307228
619918012,9.758766,-0.16280572,0.01436521,-0.009578027,0.013834927,0.005321126,11.1,31.8,53.85,28.23635,25.830465,85795.84,1381.4521,-1.9153614,4.7884035,6.703765
619951010,9.701305,-0.18674773,0.02873042,-0.011706477,0.015963377,0.004256901,10.05,33.75,52.8,28.09258,25.831179,85795.04,1381.5287,-0.9576807,2.873042,8.619126
619984012,9.773131,-0.22505496,0.038307227,-0.005321126,0.013834927,0.0021284504,10.05,31.8,52.8,28.284273,25.830263,85794.28,1381.6006,-1.9153614,-0.9576807,0
620017010,9.849746,-0.23942018,0.023942016,-0.0021284504,0.014899152,0.008513802,11.1,32.25,53.85,28.284273,25.830153,85794.7,1381.5609,-2.873042,-1.9153614,0
620050010,9.821015,-0.21068975,0.05746084,-0.009578027,0.019156054,0.007449576,8.7,31.65,54.45,28.140503,25.831087,85794.94,1381.5378,-2.873042,9.576807,5.746084
620083012,9.739613,-0.22505496,-0.05267244,-0.008513802,0.015963377,0.0021284504,10.05,30.75,54.6,28.044659,25.831362,85795.17,1381.516,-3.8307228,8.619126,0
620128975,9.787497,-0.23463176,0.033518825,-0.007449576,0.017027603,0.0031926755,9.3,32.55,55.35,28.09258,25.830832,85794.91,1381.5414,-4.7884035,4.7884035,9.576807
620161115,9.921572,-0.20111294,-0.0047884034,-0.007449576,0.013834927,-0.0021284504,9.75,32.85,53.7,28.380117,25.827368,85795.68,1381.4677,-0.9576807,5.746084,5.746084
620194011,9.830592,-0.11971009,0.076614454,-0.009578027,0.009578027,0.004256901,10.35,32.55,54.6,28.428041,25.82592,85796.5,1381.3889,-1.9153614,6.703765,10.534488
620227010,9.854534,-0.18674773,0.076614454,-0.006385351,0.010642252,0.007449576,9,33.15,54,28.475964,25.825296,85796.62,1381.3779,-0.9576807,9.576807,3.8307228
620260012,9.720459,-0.24899697,-0.01436521,-0.010642252,0.013834927,0.0031926755,10.35,32.25,54.6,28.380117,25.824675,85795.95,1381.4412,-6.703765,4.7884035,2.873042
620293010,9.830592,-0.25378537,-0.05746084,-0.006385351,0.013834927,0.0021284504,7.65,32.4,54.75,28.23635,25.82493,85795.02,1381.5298,-0.9576807,4.7884035,10.534488
620326012,9.883265,-0.18195933,0.05746084,-0.008513802,0.019156054,0.0031926755,10.65,32.25,53.55,28.380117,25.826012,85794.36,1381.5931,-0.9576807,3.8307228,15.322891
620359010,9.792285,-0.1436521,0.047884032,-0.011706477,0.010642252,0.009578027,10.65,31.5,53.55,28.284273,25.826965,85794.76,1381.5552,-4.7884035,6.703765,3.8307228
620392012,9.782708,-0.19153613,-0.019153614,-0.011706477,0.012770702,0.005321126,9.75,31.65,54.45,28.23635,25.827385,85795.734,1381.4625,-5.746084,-0.9576807,0
620425007,9.749189,-0.21547815,-0.019153614,-0.008513802,0.015963377,0.007449576,8.85,32.25,54.6,28.284273,25.827404,85795.67,1381.4683,-0.9576807,5.746084,12.449849
620458011,9.883265,-0.20590134,0.0047884034,-0.011706477,0.013834927,0.006385351,9.3,31.05,55.35,28.044659,25.828302,85795.516,1381.4833,3.8307228,0,11.492168
620491012,9.864111,-0.1436521,0.05746084,-0.011706477,0.014899152,0.005321126,8.85,34.05,54.6,28.044659,25.828835,85795.37,1381.4971,-3.8307228,2.873042,2.873042
620524010,9.816227,-0.21547815,0.076614454,-0.009578027,0.012770702,0.004256901,8.7,33.15,54.75,28.380117,25.828943,85795.195,1381.5137,1.9153614,4.7884035,10.534488
620557012,9.797073,-0.18195933,-0.05267244,-0.008513802,0.010642252,0.006385351,10.5,32.85,55.2,28.284273,25.82975,85795.086,1381.524,-3.8307228,7.6614456,8.619126
620590010,9.730036,-0.23942018,-0.04309563,-0.007449576,0.011706477,0.0010642252,9.3,32.25,55.35,28.044659,25.83094,85795.25,1381.5085,-5.746084,3.8307228,9.576807
620623012,9.888053,-0.22505496,0.038307227,-0.005321126,0.014899152,-0.008513802,8.85,32.25,54.3,28.140503,25.831253,85795.26,1381.5079,-0.9576807,3.8307228,8.619126
620656007,9.921572,-0.12449849,0.04309563,-0.006385351,0.008513802,0.004256901,9.6,34.05,54.9,28.140503,25.83105,85795.19,1381.5143,-5.746084,7.6614456,11.492168
620689012,9.801862,-0.17717093,0.033518825,-0.006385351,0.008513802,0.004256901,10.5,31.95,56.25,28.044659,25.830887,85794.82,1381.5494,-0.9576807,5.746084,10.534488
620722010,9.696517,-0.18195933,-0.02873042,-0.006385351,0.013834927,0.007449576,11.1,33,54.3,28.23635,25.830482,85794.65,1381.566,-4.7884035,5.746084,7.6614456
620755012,9.753978,-0.21547815,0.023942016,-0.009578027,0.011706477,0.0021284504,8.7,32.85,54.45,28.380117,25.830465,85794.87,1381.5448,-1.9153614,-0.9576807,14.365211
620788010,9.959879,-0.20111294,0.023942016,-0.013834927,0.012770702,0.005321126,8.1,33.3,56.1,28.428041,25.82986,85795.05,1381.5281,-4.7884035,9.576807,7.6614456
620821012,9.888053,-0.1340753,0.033518825,-0.006385351,0.017027603,0,9,32.4,55.2,28.23635,25.829567,85794.94,1381.5378,-0.9576807,6.703765,4.7884035
620854010,9.868899,-0.16759412,0.023942016,-0.012770702,0.012770702,0.004256901,9,32.4,55.8,28.475964,25.830208,85795.6,1381.4752,-2.873042,5.746084,5.746084
620887010,9.677363,-0.20111294,0.02873042,-0.010642252,0.013834927,0.005321126,9.45,31.65,55.8,28.140503,25.830704,85796.1,1381.4274,-2.873042,3.8307228,8.619126
620920012,9.868899,-0.20590134,0.02873042,-0.007449576,0.014899152,0.005321126,9.75,32.4,55.2,28.284273,25.830923,85796.164,1381.4211,-3.8307228,5.746084,4.7884035
620953010,9.92636,-0.21068975,0.038307227,-0.009578027,0.012770702,0.004256901,10.05,33,53.85,28.23635,25.831234,85795.516,1381.4833,-1.9153614,4.7884035,4.7884035
620986010,9.902418,-0.1340753,0,-0.008513802,0.011706477,0.0021284504,9.3,31.5,54.3,28.428041,25.831326,85795.13,1381.5194,-0.9576807,3.8307228,16.280571
621019010,9.821015,-0.16759412,0.01436521,-0.009578027,0.015963377,0.004256901,10.65,32.55,53.55,28.140503,25.8314,85794.86,1381.5454,-0.9576807,7.6614456,3.8307228
621052012,9.710882,-0.17717093,0.0047884034,-0.006385351,0.012770702,-0.0010642252,10.05,32.55,54.3,28.23635,25.83173,85794.695,1381.5615,-4.7884035,2.873042,11.492168
621085010,9.854534,-0.19632454,-0.0047884034,-0.007449576,0.021284504,0.004256901,9.45,32.85,54.75,28.428041,25.831839,85795.28,1381.5056,1.9153614,4.7884035,6.703765
621130974,9.902418,-0.17717093,0.01436521,-0.004256901,0.012770702,0.005321126,8.85,32.25,55.35,28.23635,25.832077,85794.88,1381.5431,-3.8307228,8.619126,3.8307228
621163115,9.825804,-0.19632454,0.05267244,-0.007449576,0.012770702,0.0021284504,10.2,32.4,54.45,28.140503,25.82931,85793.98,1381.6299,-4.7884035,11.492168,11.492168
621196011,9.682152,-0.22505496,0.02873042,-0.004256901,0.013834927,0.007449576,9.3,34.5,54.6,28.380117,25.82724,85793.59,1381.6661,-1.9153614,2.873042,3.8307228
621229010,9.840169,-0.23942018,-0.0047884034,-0.006385351,0.015963377,0.006385351,10.35,31.95,53.7,28.284273,25.826433,85793.164,1381.707,-2.873042,5.746084,3.8307228
621262012,9.883265,-0.23463176,-0.033518825,-0.011706477,0.013834927,0.007449576,9.3,33,54.3,28.140503,25.826982,85793.375,1381.6869,-0.9576807,1.9153614,8.619126
