t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
52688011,9.528923,1.0247183,-1.5275006,-0.013834927,-0.04363323,-0.11919322,6.45,53.1,22.35,27.613352,25.576836,92726.625,741.8069,-0.9576807,8.619126,7.6614456
52721011,9.409213,1.1013328,-1.685518,-0.024477178,-0.020220278,-0.08726646,6.9,53.85,21.9,27.90089,25.57645,92726.4,741.8274,-2.873042,0.9576807,5.746084
52754011,9.442732,1.1252748,-2.2744915,-0.071303084,0.029798305,-0.05959661,8.4,53.4,23.7,28.044659,25.576468,92726,741.8625,-7.6614456,10.534488,-4.7884035
52787011,9.682152,0.8714894,-2.480393,-0.14260617,0.1308997,-0.03299098,7.95,52.2,23.4,27.613352,25.576908,92726.234,741.842,-8.619126,2.873042,-2.873042
52820011,9.615114,0.7134721,-1.8674773,-0.1564411,0.1990101,-0.024477178,9.3,53.25,24.6,27.613352,25.57711,92726.234,741.842,-3.8307228,3.8307228,2.873042
52865964,9.749189,1.0342951,-1.2018893,0.004256901,0.22987263,0.0021284504,7.65,52.2,23.4,27.90089,25.576944,92726.59,741.8096,-6.703765,3.8307228,5.746084
52898099,9.591172,1.0342951,-0.5315128,0.008513802,0.19688165,0.027669854,6.75,53.55,24.6,27.75712,25.574049,92725.98,741.8647,-0.9576807,-0.9576807,9.576807
52931011,9.548077,0.9624691,-0.45968673,0.006385351,0.1308997,0.05640393,8.7,52.2,25.5,27.613352,25.571869,92726.52,741.8155,-4.7884035,4.7884035,7.6614456
52964011,9.682152,0.7757214,-0.4357447,-0.009578027,0.08300956,0.05959661,8.4,53.4,24.45,27.90089,25.570824,92725.61,741.89764,-3.8307228,2.873042,13.40753
52997011,9.835381,0.545878,-0.4357447,-0.015963377,0.018091828,0.054275483,7.35,54.3,23.25,27.948812,25.571081,92726.61,741.8079,-2.873042,6.703765,13.40753
53030011,9.792285,0.45010993,-0.49799395,-0.019156054,-0.03299098,0.036183655,7.8,54.3,24.6,27.852966,25.571556,92726.54,741.8144,-3.8307228,11.492168,5.746084
53063014,9.706094,0.30166942,-0.56982,-0.014899152,-0.07768843,0.013834927,7.95,53.4,26.25,27.709198,25.571905,92726.35,741.8317,0,4.7884035,7.6614456
