t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
33938359,-1.086968,-1.144428,9.758766,-0.032991,0.047890,-0.216038,37.350,2.400,108.150,25.22,22.97,97171.69,351.676,7.661446,8.619126,8.619126
33971359,-1.110910,-1.187524,10.002975,0.026606,-0.002128,0.025541,36.150,1.500,107.100,24.93,22.97,97171.80,351.667,9.576807,2.873042,13.407530
34004359,-1.230620,1.000776,9.442732,-0.011706,0.001064,0.031927,36.000,1.650,107.700,25.31,22.97,97171.59,351.685,8.619126,5.746084,13.407530
34038359,-1.158794,1.249773,9.677363,-0.010642,0.018092,0.071303,36.300,1.200,108.000,25.27,22.97,97172.30,351.623,6.703765,7.661446,13.407530
34071359,-0.727837,-0.181959,9.787497,-0.010642,0.020220,-0.006385,37.650,0.000,107.550,25.31,22.97,97172.80,351.580,9.576807,3.830723,12.449849
34104359,-0.914585,-0.201113,9.830592,-0.008514,0.013835,0.000000,37.950,1.500,106.050,25.41,22.97,97172.59,351.598,9.576807,1.915361,13.407530
34138359,-0.885855,-0.191536,9.255983,0.032991,-0.021285,-0.007450,37.800,0.450,108.000,25.27,22.97,97172.98,351.564,6.703765,-0.957681,18.195932
34171359,-1.086968,-0.354342,9.260772,-0.002128,0.010642,-0.001064,38.100,-1.200,108.000,25.27,22.97,97173.46,351.523,6.703765,6.703765,16.280571
34204359,-0.905008,-0.277727,9.844957,0.020220,-0.003193,0.113872,36.900,0.300,108.600,25.22,22.97,97173.37,351.532,11.492168,1.915361,21.068975
34238359,-1.168370,-0.062249,9.375694,0.053211,-0.019156,0.080881,37.950,1.500,107.100,25.27,22.97,97174.25,351.455,13.407530,6.703765,14.365211
34271362,-0.857124,2.308010,10.386047,0.045762,-0.013835,-0.120257,38.550,0.900,108.000,25.22,22.97,97173.00,351.563,6.703765,-0.957681,12.449849
34304359,-0.766145,0.009577,9.864111,0.036184,-0.020220,-0.069175,37.950,1.800,107.850,25.07,22.97,97172.96,351.566,11.492168,3.830723,13.407530
34338359,-1.168370,-0.713472,9.634268,0.043633,-0.051083,-0.317139,36.900,0.300,107.100,25.22,22.97,97174.31,351.450,3.830723,-0.957681,8.619126
34371363,-0.871489,-0.359130,9.835381,0.104294,-0.260735,-0.041505,37.950,1.500,108.900,25.31,22.97,97173.72,351.501,9.576807,-0.957681,12.449849
34404359,-0.608127,-0.105345,9.974244,0.119193,-0.413984,-0.209652,37.050,0.150,108.450,24.98,22.97,97173.60,351.511,9.576807,4.788404,9.576807
34438359,-0.718261,-0.660800,13.378799,0.162826,-0.582131,-0.424626,37.200,0.000,108.150,25.41,22.97,97173.53,351.517,7.661446,2.873042,15.322891
34471359,0.076614,-0.378284,10.137050,0.650242,-0.108551,-0.425690,36.300,0.450,110.550,24.98,22.97,97172.85,351.576,4.788404,8.619126,16.280571
34504359,0.311246,-0.545878,10.122684,0.789655,-0.039376,0.017028,35.400,2.250,110.400,25.31,22.97,97172.70,351.590,4.788404,-0.957681,8.619126
34538359,-0.004788,0.723049,10.074800,0.901399,0.068110,0.038312,35.700,1.800,111.450,25.22,22.97,97172.70,351.590,8.619126,7.661446,7.661446
34587966,-0.292093,1.393425,9.844957,1.018463,0.402277,-0.057468,36.000,6.300,111.600,25.46,22.97,97172.87,351.574,9.576807,4.788404,16.280571
34611139,-0.842759,2.978387,8.599973,0.433140,-0.021285,-0.293726,36.150,4.950,110.700,25.27,22.97,97172.91,351.570,8.619126,-2.873042,21.068975
