t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
12528195,-0.076614,-0.253785,9.830592,0.001064,0.010642,0.000000,35.700,9.450,90.150,25.46,23.10,97106.33,357.307,7.661446,-2.873042,12.449849
12560731,0.009577,-0.320823,9.868899,-0.004257,0.010642,-0.002128,34.800,8.100,90.750,25.84,23.10,97105.99,357.336,8.619126,6.703765,11.492168
12594344,-0.023942,-0.263362,9.730036,-0.008514,0.015963,0.000000,35.100,9.150,89.850,25.31,23.10,97106.42,357.299,7.661446,4.788404,15.322891
12627344,-0.014365,-0.248997,9.844957,0.002128,0.012771,-0.004257,34.050,7.800,90.750,25.84,23.10,97106.35,357.305,7.661446,7.661446,11.492168
12660344,0.004788,-0.306458,9.888053,0.000000,0.010642,-0.004257,33.000,10.500,91.050,25.84,23.10,97106.18,357.320,8.619126,3.830723,16.280571
12694344,-0.019154,-0.325611,9.840169,0.000000,0.008514,-0.001064,33.900,8.400,89.100,25.74,23.10,97105.98,357.337,6.703765,-0.957681,15.322891
12727344,-0.038307,-0.287304,9.811439,0.001064,0.012771,0.000000,34.350,9.150,90.450,25.84,23.10,97105.38,357.389,6.703765,7.661446,11.492168
12760344,0.009577,-0.258574,9.811439,0.000000,0.010642,-0.003193,35.100,9.450,90.450,25.79,23.10,97105.41,357.386,9.576807,5.746084,9.576807
12794344,0.000000,-0.311246,9.821015,0.002128,0.012771,0.002128,33.000,10.800,90.000,25.74,23.10,97106.14,357.323,13.407530,4.788404,8.619126
12827344,0.000000,-0.282516,9.768343,-0.001064,0.012771,0.005321,35.250,7.800,90.300,25.65,23.10,97106.06,357.330,10.534488,-0.957681,12.449849
12860344,0.004788,-0.301669,9.787497,-0.001064,0.010642,0.000000,35.550,8.850,90.000,25.60,23.10,97105.55,357.374,6.703765,-0.957681,17.238253
12894344,-0.038307,-0.311246,9.811439,0.000000,0.012771,-0.002128,33.750,9.300,91.050,25.65,23.10,97104.71,357.446,-0.957681,2.873042,18.195932
12927344,-0.014365,-0.296881,9.821015,-0.001064,0.017028,-0.005321,36.000,10.050,91.350,25.46,23.10,97104.14,357.496,9.576807,2.873042,22.026655
12960344,-0.023942,-0.320823,9.902418,0.000000,0.013835,0.001064,34.050,8.550,90.750,25.60,23.10,97104.34,357.478,11.492168,8.619126,12.449849
12994344,-0.028730,-0.287304,9.835381,-0.001064,0.011706,-0.005321,34.050,8.100,91.350,25.60,23.10,97105.03,357.419,-1.915361,1.915361,21.068975
13027344,-0.009577,-0.330400,9.816227,0.001064,0.012771,0.001064,34.800,8.550,90.300,25.50,23.10,97105.63,357.367,6.703765,-0.957681,9.576807
13060344,-0.028730,-0.282516,9.844957,0.002128,0.009578,-0.005321,34.350,9.450,91.200,25.74,23.10,97104.79,357.439,8.619126,2.873042,10.534488
13094344,-0.062249,-0.335188,9.830592,-0.008514,0.013835,-0.004257,34.800,9.600,90.000,25.74,23.10,97105.45,357.383,5.746084,-0.957681,3.830723
13127344,0.047884,-0.268151,9.816227,-0.004257,0.008514,-0.004257,34.800,8.850,92.550,25.65,23.10,97105.01,357.421,6.703765,7.661446,15.322891
13160344,-0.023942,-0.186748,9.821015,0.000000,0.006385,-0.002128,34.350,9.150,90.150,25.74,23.10,97105.67,357.363,7.661446,5.746084,14.365211
13194344,-0.033519,-0.330400,9.849746,0.001064,0.010642,-0.001064,34.650,8.700,91.950,25.74,23.10,97104.70,357.448,3.830723,2.873042,5.746084
13227344,0.067038,-0.296881,9.825804,-0.003193,0.009578,-0.002128,35.400,9.150,90.900,25.60,23.10,97105.16,357.408,5.746084,2.873042,12.449849
13260344,-0.028730,-0.268151,9.849746,-0.003193,0.011706,-0.004257,34.350,8.700,91.200,25.74,23.11,97105.06,357.416,12.449849,-0.957681,10.534488
13294344,0.004788,-0.268151,9.888053,0.003193,0.008514,-0.001064,34.350,8.700,91.650,25.74,23.11,97104.74,357.444,11.492168,10.534488,11.492168
13327344,-0.052672,-0.292093,9.811439,-0.004257,0.011706,0.001064,34.050,8.850,90.000,25.46,23.11,97103.90,357.516,8.619126,2.873042,13.407530
13360344,-0.047884,-0.320823,9.801862,-0.003193,0.010642,0.000000,33.750,8.100,90.000,25.65,23.11,97104.95,357.426,4.788404,5.746084,9.576807
13394344,0.028730,-0.287304,9.864111,-0.002128,0.013835,-0.002128,34.350,8.400,90.450,25.65,23.11,97105.80,357.352,4.788404,-0.957681,15.322891
13427344,-0.047884,-0.282516,9.854534,-0.003193,0.012771,-0.001064,34.650,8.700,90.450,25.46,23.11,97105.55,357.373,8.619126,6.703765,13.407530
13460344,-0.004788,-0.282516,9.830592,-0.005321,0.018092,-0.001064,34.650,9.450,91.200,25.60,23.11,97105.96,357.338,9.576807,3.830723,8.619126
13503517,0.038307,-0.325611,9.849746,-0.004257,0.015963,-0.003193,34.350,9.150,90.150,25.79,23.11,97105.97,357.338,10.534488,2.873042,14.365211
13527081,-0.043096,-0.320823,9.821015,0.001064,0.012771,0.001064,33.600,8.700,90.450,25.65,23.10,97106.48,357.294,7.661446,8.619126,14.365211
13560344,0.052672,-0.162806,9.787497,-0.002128,0.010642,0.005321,34.800,9.300,90.000,25.46,23.10,97106.37,357.304,7.661446,2.873042,8.619126
13600125,-0.210690,-0.349553,9.840169,-0.004257,0.013835,-0.003193,34.500,8.850,90.750,25.60,23.11,97106.61,357.283,8.619126,0.957681,15.322891
13627347,0.248997,-0.378284,9.811439,-0.005321,0.011706,-0.006385,34.800,9.600,90.300,25.50,23.10,97105.59,357.370,7.661446,4.788404,8.619126
13660344,0.038307,-0.268151,9.830592,-0.008514,0.008514,-0.001064,34.350,9.450,90.150,25.46,23.11,97106.56,357.287,9.576807,-5.746084,12.449849
13694344,0.081403,-0.378284,9.888053,-0.002128,0.011706,0.003193,34.350,9.450,90.900,25.79,23.11,97106.03,357.333,7.661446,9.576807,15.322891
13727344,-0.014365,-0.210690,9.744401,0.010642,0.010642,0.004257,36.150,10.200,90.450,25.65,23.11,97106.11,357.325,10.534488,-2.873042,21.068975
13760344,0.014365,-0.354342,9.916783,-0.001064,0.013835,-0.002128,35.100,8.700,90.900,25.60,23.11,97104.84,357.435,9.576807,-1.915361,16.280571
13794344,0.057461,-0.397437,9.825804,-0.003193,0.013835,0.000000,34.500,8.100,90.750,25.74,23.11,97105.19,357.405,5.746084,5.746084,15.322891
13827344,0.033519,-0.268151,9.830592,-0.004257,0.015963,0.001064,35.250,8.100,91.800,25.74,23.11,97105.41,357.386,11.492168,4.788404,8.619126
13860344,0.407014,-0.368707,9.993398,0.141542,-0.039376,-0.002128,33.900,9.450,89.850,25.84,23.11,97104.68,357.449,12.449849,3.830723,15.322891
13894344,-0.646434,-0.148441,8.791509,-0.015963,0.022349,-0.052147,35.400,9.450,90.150,25.65,23.11,97104.84,357.435,6.703765,2.873042,10.534488
13927344,-0.440533,0.019154,10.184934,0.005321,-0.002128,-0.061725,34.500,9.600,91.050,25.50,23.11,97104.35,357.477,10.534488,4.788404,18.195932
13960344,-1.096544,0.110133,10.093954,-0.060661,0.063854,-0.109615,34.800,9.300,90.750,25.79,23.11,97104.27,357.485,11.492168,1.915361,21.068975
13994344,0.277727,1.407791,11.554418,-0.047890,0.022349,0.502314,34.350,8.400,91.650,25.46,23.11,97102.92,357.600,8.619126,2.873042,18.195932
