t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
594758518,-0.033519,0.565032,9.806650,-0.010642,0.011706,-0.001064,30.600,37.050,48.000,27.52,24.42,85460.73,1413.426,6.703765,6.703765,15.322891
594791521,-0.081403,0.517148,9.725247,-0.008514,0.008514,-0.004257,30.600,37.050,48.000,27.23,24.42,85460.65,1413.434,7.661446,5.746084,6.703765
594824518,-0.095768,0.565032,9.773131,-0.006385,0.010642,0.005321,30.600,37.050,48.000,27.61,24.42,85461.71,1413.332,10.534488,4.788404,13.407530
594858518,-0.052672,0.531513,9.797073,-0.011706,0.009578,0.007450,30.600,37.050,48.000,27.33,24.42,85461.29,1413.372,9.576807,5.746084,11.492168
594891518,-0.110133,0.545878,9.801862,-0.005321,0.010642,0.005321,30.600,37.050,48.000,27.52,24.42,85461.35,1413.367,10.534488,9.576807,16.280571
594924518,-0.143652,0.521936,9.806650,-0.004257,0.010642,0.004257,30.600,37.050,48.000,27.57,24.42,85461.20,1413.382,3.830723,1.915361,19.153614
594958521,-0.095768,0.517148,9.811439,-0.007450,0.011706,0.000000,30.600,37.050,48.000,27.37,24.42,85461.17,1413.384,6.703765,2.873042,20.111294
594991523,-0.067038,0.593762,9.825804,-0.009578,0.010642,0.005321,30.600,37.050,48.000,27.52,24.42,85461.03,1413.398,4.788404,4.788404,13.407530
595024518,-0.081403,0.560243,9.811439,-0.007450,0.007450,0.000000,30.600,37.050,48.000,27.09,24.42,85460.57,1413.441,12.449849,3.830723,19.153614
595058518,-0.105345,0.584185,9.825804,-0.010642,0.012771,0.006385,30.600,37.050,48.000,27.57,24.42,85460.41,1413.457,7.661446,3.830723,13.407530
595091521,-0.100556,0.627281,9.768343,-0.011706,0.010642,-0.001064,30.600,37.050,48.000,27.37,24.42,85459.85,1413.510,8.619126,8.619126,16.280571
595124518,-0.124498,0.584185,9.792285,-0.009578,0.012771,0.004257,30.600,37.050,48.000,27.33,24.42,85459.95,1413.500,9.576807,6.703765,16.280571
595158518,-0.057461,0.622492,9.792285,-0.012771,0.012771,0.002128,30.600,37.050,48.000,27.42,24.42,85460.29,1413.468,7.661446,5.746084,11.492168
595191518,-0.076614,0.550666,9.782708,-0.008514,0.017028,0.002128,30.600,37.050,48.000,27.57,24.42,85461.09,1413.391,13.407530,5.746084,8.619126
595224518,-0.057461,0.617704,9.806650,-0.007450,0.013835,0.005321,30.600,37.050,48.000,27.18,24.42,85460.69,1413.430,8.619126,0.957681,15.322891
595258518,-0.043096,0.569820,9.806650,-0.006385,0.011706,0.002128,30.600,37.050,48.000,27.42,24.42,85459.57,1413.537,5.746084,2.873042,9.576807
595291518,-0.095768,0.603339,9.849746,-0.008514,0.011706,0.001064,30.600,37.050,48.000,27.61,24.42,85459.22,1413.571,6.703765,6.703765,16.280571
595324518,-0.086191,0.569820,9.782708,-0.010642,0.007450,0.004257,30.600,37.050,48.000,27.04,24.42,85459.51,1413.543,8.619126,5.746084,14.365211
595358518,-0.076614,0.531513,9.806650,-0.009578,0.007450,0.004257,30.600,37.050,48.000,27.37,24.42,85459.44,1413.550,5.746084,1.915361,15.322891
595391518,-0.014365,0.526724,9.787497,-0.008514,0.010642,0.002128,30.600,37.050,48.000,27.37,24.42,85460.30,1413.467,8.619126,3.830723,13.407530
595424518,-0.052672,0.560243,9.801862,-0.012771,0.012771,0.005321,30.600,37.050,48.000,27.52,24.42,85461.23,1413.379,13.407530,8.619126,14.365211
595458523,-0.071826,0.550666,9.840169,-0.006385,0.009578,0.002128,30.600,37.050,48.000,27.33,24.42,85460.03,1413.493,10.534488,4.788404,10.534488
595491518,-0.038307,0.541090,9.849746,-0.006385,0.010642,0.001064,30.600,37.050,48.000,27.33,24.42,85460.29,1413.468,11.492168,3.830723,15.322891
595524518,-0.052672,0.555455,9.801862,-0.007450,0.008514,0.002128,30.600,37.050,48.000,27.52,24.42,85460.29,1413.468,3.830723,-0.957681,14.365211
595558518,-0.028730,0.555455,9.782708,-0.005321,0.011706,0.002128,30.600,37.050,48.000,27.04,24.42,85460.34,1413.463,3.830723,5.746084,20.111294
595591518,-0.158017,0.651223,9.811439,-0.008514,0.009578,-0.001064,30.600,37.050,48.000,27.52,24.42,85461.23,1413.379,7.661446,8.619126,15.322891
595624518,-0.239420,0.660800,9.686940,-0.009578,0.009578,0.002128,30.600,37.050,48.000,27.52,24.42,85461.19,1413.382,2.873042,2.873042,11.492168
595658518,-0.114922,0.622492,9.859323,-0.004257,0.017028,0.002128,30.600,37.050,48.000,27.23,24.42,85460.79,1413.420,12.449849,3.830723,20.111294
595706637,-0.076614,0.502782,9.979033,-0.007450,0.010642,0.000000,30.600,37.050,48.000,27.18,24.42,85460.74,1413.425,5.746084,9.576807,16.280571
595730106,-0.076614,0.517148,9.730036,-0.009578,0.017028,0.004257,30.600,37.050,48.000,27.33,24.41,85460.98,1413.403,2.873042,10.534488,14.365211
595758877,-0.023942,0.474052,9.720459,-0.008514,0.011706,0.003193,30.600,37.050,48.000,27.37,24.41,85461.10,1413.390,9.576807,3.830723,20.111294
595791518,-0.033519,0.545878,9.835381,-0.004257,0.010642,0.002128,30.600,37.050,48.000,27.52,24.41,85461.18,1413.383,3.830723,1.915361,21.068975
595824518,-0.134075,0.598550,9.888053,-0.006385,0.010642,0.003193,30.600,37.050,48.000,27.37,24.41,85461.27,1413.374,8.619126,4.788404,10.534488
595858518,-0.177171,0.584185,9.763555,-0.011706,0.007450,0.001064,30.600,37.050,48.000,27.57,24.42,85461.09,1413.392,6.703765,0.000000,17.238253
595891518,0.009577,0.517148,9.777920,-0.008514,0.013835,0.006385,30.600,37.050,48.000,27.52,24.42,85460.86,1413.414,5.746084,1.915361,10.534488
595924518,0.014365,0.574608,9.811439,-0.012771,0.007450,0.006385,30.600,37.050,48.000,27.57,24.42,85460.25,1413.472,2.873042,7.661446,11.492168
595958518,-0.090980,0.584185,9.840169,-0.010642,0.011706,0.009578,30.600,37.050,48.000,27.33,24.42,85459.79,1413.516,7.661446,2.873042,9.576807
595991522,-0.100556,0.612916,9.835381,-0.012771,0.008514,0.005321,30.600,37.050,48.000,27.52,24.42,85459.50,1413.544,13.407530,2.873042,8.619126
596024518,-0.067038,0.507571,9.835381,-0.010642,0.011706,0.000000,30.600,37.050,48.000,27.33,24.42,85459.70,1413.525,11.492168,4.788404,20.111294
596058518,-0.057461,0.469264,9.811439,-0.009578,0.012771,0.002128,30.600,37.050,48.000,27.57,24.42,85460.55,1413.443,2.873042,10.534488,21.068975
596091521,-0.090980,0.617704,9.830592,-0.010642,0.012771,0.006385,30.600,37.050,48.000,27.33,24.41,85459.34,1413.558,11.492168,1.915361,19.153614
596124518,-0.129287,0.665588,9.830592,-0.006385,0.007450,0.006385,30.600,37.050,48.000,27.57,24.42,85460.47,1413.451,9.576807,9.576807,17.238253
596158518,-0.153229,0.603339,9.773131,-0.010642,0.010642,0.005321,30.600,37.050,48.000,27.52,24.42,85459.64,1413.530,5.746084,3.830723,18.195932
596191518,-0.095768,0.541090,9.811439,-0.008514,0.014899,0.005321,30.600,37.050,48.000,27.04,24.42,85460.29,1413.468,14.365211,-0.957681,15.322891
596224518,-0.047884,0.469264,9.773131,-0.006385,0.011706,0.008514,30.600,37.050,48.000,27.52,24.41,85460.56,1413.442,9.576807,1.915361,17.238253
596258518,-0.100556,0.478840,9.868899,-0.005321,0.011706,0.001064,30.600,37.050,48.000,27.52,24.41,85460.25,1413.472,5.746084,-0.957681,6.703765
596291518,-0.225055,0.555455,9.739613,-0.008514,0.010642,0.002128,30.600,37.050,48.000,27.09,24.41,85460.11,1413.486,8.619126,5.746084,12.449849
596324518,-0.081403,0.603339,9.835381,-0.009578,0.013835,0.006385,30.600,37.050,48.000,27.37,24.41,85460.45,1413.453,2.873042,3.830723,16.280571
596358518,0.038307,0.699107,9.730036,-0.008514,0.011706,0.007450,30.600,37.050,48.000,27.37,24.41,85459.82,1413.513,4.788404,3.830723,16.280571
596391518,0.076614,0.598550,9.777920,-0.010642,0.009578,0.000000,30.600,37.050,48.000,27.37,24.41,85459.84,1413.512,12.449849,6.703765,21.068975
596424518,-0.148441,0.502782,9.825804,-0.010642,0.009578,-0.002128,30.600,37.050,48.000,27.42,24.41,85460.14,1413.483,9.576807,7.661446,16.280571
596458488,-0.181959,0.459687,9.782708,-0.002128,0.013835,0.008514,30.600,37.050,48.000,27.52,24.41,85459.91,1413.505,12.449849,2.873042,16.280571
596491518,-0.167594,0.450110,9.777920,-0.008514,0.011706,0.008514,30.600,37.050,48.000,27.18,24.41,85460.27,1413.471,9.576807,1.915361,11.492168
596524518,-0.119710,0.617704,9.739613,-0.008514,0.010642,0.009578,30.600,37.050,48.000,27.37,24.41,85460.49,1413.449,7.661446,5.746084,13.407530
596558518,-0.023942,0.622492,9.782708,-0.009578,0.018092,0.006385,30.600,37.050,48.000,27.33,24.41,85460.34,1413.463,2.873042,1.915361,15.322891
596591521,0.009577,0.565032,9.830592,-0.009578,0.008514,0.007450,30.600,37.050,48.000,27.37,24.41,85460.52,1413.446,9.576807,2.873042,14.365211
596624518,-0.110133,0.474052,9.763555,-0.007450,0.008514,0.001064,30.600,37.050,48.000,27.23,24.41,85460.52,1413.446,8.619126,2.873042,20.111294
596673122,-0.186748,0.550666,9.744401,-0.006385,0.015963,0.007450,30.600,37.050,48.000,27.33,24.41,85460.37,1413.461,10.534488,3.830723,16.280571
596696109,-0.172383,0.550666,9.801862,-0.009578,0.007450,0.007450,30.600,37.050,48.000,27.57,24.41,85459.65,1413.529,5.746084,-0.957681,11.492168
596724921,-0.052672,0.608127,9.744401,-0.004257,0.011706,0.005321,30.600,37.050,48.000,27.18,24.41,85459.46,1413.547,1.915361,-0.957681,19.153614
596806329,0.023942,0.574608,9.897630,-0.008514,0.005321,-0.001064,30.600,37.050,48.000,27.57,24.41,85459.83,1413.513,6.703765,8.619126,16.280571
596830177,-0.038307,0.493206,9.806650,-0.010642,0.008514,-0.001064,30.600,37.050,48.000,27.42,24.40,85460.65,1413.434,11.492168,4.788404,19.153614
596858894,-0.100556,0.526724,9.801862,-0.009578,0.013835,0.002128,30.600,37.050,48.000,27.52,24.39,85460.59,1413.440,7.661446,2.873042,23.942017
596887874,-0.124498,0.531513,9.911995,-0.008514,0.011706,0.007450,30.600,37.050,48.000,27.37,24.39,85461.16,1413.385,7.661446,6.703765,21.068975
596916878,-0.067038,0.574608,9.811439,-0.006385,0.007450,0.010642,30.600,37.050,48.000,27.52,24.40,85461.47,1413.356,8.619126,2.873042,22.984337
596946026,-0.067038,0.584185,9.792285,-0.010642,0.011706,0.004257,30.600,37.050,48.000,27.37,24.40,85461.63,1413.340,8.619126,-0.957681,19.153614
596975513,-0.067038,0.617704,9.849746,-0.008514,0.014899,0.007450,30.600,37.050,48.000,27.37,24.40,85461.80,1413.323,6.703765,-0.957681,7.661446
597006410,-0.052672,0.584185,9.777920,-0.011706,0.011706,0.005321,30.600,37.050,48.000,27.37,24.41,85461.45,1413.357,7.661446,-0.957681,8.619126
